DATE,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
2020-01-01,2168.0,2183.9,2154.0,2161.7,2170.0,2167.6,2170.54,2296.2,1808.0,1354908,2940882381.95,44438
2020-01-02,2179.95,2179.95,2149.2,2167.6,2157.0,2157.65,2158.63,2296.2,1808.0,2380752,5139156143.05,99242
2020-01-03,2164.0,2223.0,2164.0,2157.65,2201.0,2200.65,2199.26,2296.2,1808.0,4655761,10239206390.2,123516
2020-01-06,2205.0,2225.95,2187.9,2200.65,2201.35,2200.45,2204.89,2296.2,1808.0,3023209,6665855309.1,135360
2020-01-07,2200.5,2214.65,2183.8,2200.45,2205.0,2205.85,2203.53,2296.2,1808.0,2429317,5353063591.1,95018
2020-01-08,2205.0,2260.0,2202.05,2205.85,2253.35,2255.25,2240.22,2296.2,1808.0,5197454,11643424341.4,172815
2020-01-09,2248.75,2251.95,2210.0,2255.25,2220.0,2214.35,2223.77,2296.2,1808.0,3734173,8303924064.05,134309
2020-01-10,2228.0,2234.0,2208.0,2214.35,2213.0,2213.55,2219.51,2296.2,1808.0,1915807,4252150307.25,102938
2020-01-13,2217.85,2218.95,2184.7,2213.55,2193.0,2190.35,2197.65,2296.2,1808.0,2843893,6249872578.1,113645
2020-01-14,2195.0,2229.8,2195.0,2190.35,2210.0,2206.9,2212.56,2296.2,1808.0,2948452,6523621598.3,132106
2020-01-15,2213.0,2231.0,2194.2,2206.9,2225.05,2226.9,2212.65,2296.2,1808.0,2620681,5798644641.7,114594
2020-01-16,2226.95,2249.0,2215.0,2226.9,2240.0,2238.8,2235.81,2296.2,1808.0,3117214,6969483359.1,113056
2020-01-17,2240.75,2253.55,2213.0,2238.8,2220.0,2219.1,2232.37,2296.2,1808.0,3281059,7324550065.2,123528
2020-01-20,2194.9,2242.2,2156.2,2219.1,2174.0,2170.35,2182.48,2296.2,1870.0,5817599,12696797976.85,216725
2020-01-21,2169.95,2186.55,2158.05,2170.35,2172.35,2171.05,2170.95,2296.2,1870.0,1902980,4131268511.6,115866
2020-01-22,2181.0,2210.0,2173.7,2171.05,2209.8,2206.9,2198.89,2296.2,1870.0,1773686,3900137863.2,109240
2020-01-23,2209.8,2217.75,2183.7,2206.9,2188.0,2190.95,2200.81,2296.2,1870.0,2069866,4555383340.35,110107
2020-01-24,2190.95,2190.95,2170.0,2190.95,2185.0,2183.4,2179.72,2296.2,1870.0,1319430,2875988028.7,55949
2020-01-27,2189.7,2193.45,2165.0,2183.4,2168.3,2169.25,2172.99,2296.2,1881.3,1549101,3366187862.3,62160
2020-01-28,2174.0,2187.8,2152.0,2169.25,2183.8,2183.75,2169.48,2296.2,1881.3,1743024,3781454132.55,79762
2020-01-29,2185.0,2186.95,2150.0,2183.75,2154.0,2154.6,2164.12,2296.2,1881.3,2306761,4992115934.85,88479
2020-01-30,2160.0,2165.0,2125.0,2154.6,2134.65,2137.85,2140.26,2296.2,1881.3,2098567,4491487115.5,88883
2020-01-31,2139.4,2144.35,2071.6,2137.85,2082.4,2079.05,2098.15,2296.2,1881.3,3287223,6897092272.7,131558
2020-02-01,2079.5,2180.7,2063.6,2079.05,2167.5,2164.85,2129.7,2296.2,1881.3,3319716,7070007900.45,112061
2020-02-03,2152.0,2194.7,2093.2,2164.85,2110.0,2102.5,2136.37,2296.2,1881.3,4728073,10100912568.45,194574
2020-02-04,2129.0,2136.7,2086.6,2102.5,2111.95,2107.75,2111.28,2296.2,1881.3,3509339,7409207263.95,130941
2020-02-05,2115.0,2156.7,2104.3,2107.75,2147.5,2146.55,2136.16,2296.2,1881.3,2439322,5210791950.6,132082
2020-02-06,2145.0,2174.2,2115.5,2146.55,2129.45,2128.35,2146.02,2296.2,1881.3,2640065,5665630316.25,97158
2020-02-07,2139.0,2151.0,2119.0,2128.35,2138.0,2136.55,2131.41,2296.2,1881.3,2083442,4440665628.95,73200
2020-02-10,2140.9,2167.0,2119.0,2136.55,2153.1,2161.95,2149.9,2296.2,1881.3,2383032,5123271169.05,88969
2020-02-11,2163.0,2174.8,2147.6,2161.95,2152.7,2153.4,2157.68,2296.2,1881.3,1335820,2882266531.2,76595
2020-02-12,2151.1,2185.0,2150.0,2153.4,2173.1,2170.75,2173.56,2296.2,1881.3,1620407,3522057735.3,98406
2020-02-13,2172.95,2197.0,2171.0,2170.75,2191.0,2191.95,2186.71,2296.2,1881.3,1645948,3599206271.85,73525
2020-02-14,2188.0,2212.0,2171.0,2191.95,2183.0,2184.2,2190.86,2296.2,1881.3,1500115,3286548193.5,117257
2020-02-17,2196.95,2217.0,2190.2,2184.2,2202.05,2203.25,2204.55,2296.2,1881.3,1774724,3912463071.6,81968
2020-02-18,2199.95,2221.0,2186.05,2203.25,2215.0,2215.75,2208.09,2296.2,1881.3,2486223,5489791841.65,98311
2020-02-19,2215.75,2230.0,2190.5,2215.75,2194.1,2196.35,2209.81,2296.2,1881.3,1760463,3890285125.4,77338
2020-02-20,2204.5,2214.4,2151.25,2196.35,2157.0,2156.8,2189.19,2296.2,1881.3,2317278,5072973393.6,121407
2020-02-24,2156.0,2178.95,2106.7,2156.8,2112.0,2115.35,2152.36,2296.2,1925.0,3092877,6656983182.25,120347
2020-02-25,2115.5,2176.65,2111.0,2115.35,2163.0,2156.15,2148.89,2296.2,1925.0,2674567,5747361446.9,116295
2020-02-26,2154.0,2163.9,2112.95,2156.15,2122.0,2123.6,2137.17,2296.2,1925.0,2686842,5742251457.3,155115
2020-02-27,2119.95,2119.95,2086.2,2123.6,2097.0,2105.5,2101.98,2296.2,1925.0,2349001,4937549661.85,112336
2020-02-28,2068.0,2069.5,1990.0,2105.5,2010.0,2000.15,2026.81,2296.2,1925.0,4298076,8711395573.55,229475
2020-03-02,2035.0,2053.95,1985.7,2000.15,2000.0,2001.3,2035.99,2296.2,1925.0,2667076,5430128654.2,118184
2020-03-03,2020.0,2060.0,2012.0,2001.3,2041.0,2036.2,2033.79,2296.2,1925.0,2757585,5608338598.55,139234
2020-03-04,2056.0,2094.45,2025.0,2036.2,2082.1,2083.2,2059.4,2296.2,1925.0,3237002,6666279934.95,131156
2020-03-05,2085.7,2147.75,2084.05,2083.2,2129.0,2125.05,2121.54,2296.2,1925.0,3937056,8352624017.2,193693
2020-03-06,2098.0,2123.65,2071.6,2125.05,2115.4,2116.45,2097.98,2296.2,1925.0,2595027,5444309389.5,130651
2020-03-09,2075.0,2079.9,1935.0,2116.45,1981.0,1972.35,1989.28,2296.2,1925.0,4940982,9829011647.95,227592
2020-03-11,1933.0,1987.3,1920.0,1972.35,1952.75,1953.7,1959.39,2296.2,1920.0,6796752,13317485489.4,213057
2020-03-12,1904.0,1908.4,1758.35,1953.7,1772.9,1769.85,1815.1,2296.2,1758.35,8728972,15843998582.65,252037
2020-03-13,1687.9,1820.0,1506.05,1769.85,1820.0,1806.3,1736.57,2296.2,1506.05,8029725,13944191600.15,280631
2020-03-16,1755.0,1842.25,1675.85,1806.3,1684.5,1696.4,1760.08,2296.2,1506.05,7844420,13806790037.55,380004
2020-03-17,1730.0,1731.0,1623.15,1696.4,1632.0,1658.0,1687.98,2296.2,1506.05,5713269,9643907647.0,224133
2020-03-18,1676.8,1713.55,1627.75,1658.0,1670.0,1654.4,1667.41,2296.2,1506.05,7259111,12103889122.0,276794
2020-03-19,1559.7,1685.45,1546.75,1654.4,1636.0,1636.35,1622.31,2296.2,1506.05,5135162,8330841286.1,248319
2020-03-20,1630.0,1869.0,1627.0,1636.35,1792.95,1797.45,1787.53,2296.2,1506.05,8547645,15279137654.05,361688
2020-03-23,1620.0,1750.0,1617.75,1797.45,1631.0,1669.7,1687.63,2296.2,1506.05,7003558,11819398271.45,190709
2020-03-24,1653.05,1770.0,1632.85,1669.7,1699.95,1703.15,1716.94,2296.2,1506.05,6354209,10909810045.2,309791
2020-03-25,1700.0,1810.0,1680.0,1703.15,1732.0,1750.3,1735.21,2296.2,1506.05,2765527,4798769889.4,200205
2020-03-26,1831.6,1832.05,1722.55,1750.3,1785.0,1790.95,1783.59,2296.2,1506.05,4556071,8126171884.0,251428
2020-03-27,1820.0,1850.0,1750.4,1790.95,1850.0,1824.5,1796.8,2296.2,1506.05,4331310,7782510210.5,217336
2020-03-30,1766.0,1905.0,1763.55,1824.5,1781.7,1778.5,1813.46,2296.2,1506.05,8513608,15439075101.8,277606
2020-03-31,1837.4,1855.0,1780.0,1778.5,1819.0,1826.1,1824.45,2296.2,1506.05,3927593,7165706825.15,190774
2020-04-01,1825.9,1834.75,1702.0,1826.1,1714.0,1708.75,1763.66,2296.2,1506.05,4941898,8715811596.15,221364
2020-04-03,1740.0,1740.0,1650.0,1708.75,1659.0,1654.2,1688.3,2296.2,1506.05,5735529,9683316717.35,244588
2020-04-07,1710.0,1785.85,1705.0,1654.2,1765.85,1775.2,1747.2,2296.2,1506.05,5427965,9483750315.95,232534
2020-04-08,1760.0,1806.0,1701.0,1775.2,1708.0,1705.45,1736.76,2296.2,1506.05,6285616,10916585385.25,276600
2020-04-09,1750.45,1778.8,1731.2,1705.45,1761.0,1766.15,1759.13,2296.2,1506.05,5307649,9336868535.45,184889
2020-04-13,1761.0,1787.0,1746.0,1766.15,1761.6,1759.25,1761.05,2296.2,1506.05,2990478,5266381662.6,105582
2020-04-15,1785.0,1812.0,1727.8,1759.25,1735.0,1735.15,1774.09,2296.2,1506.05,4761401,8447176543.0,196087
2020-04-16,1709.95,1764.9,1675.05,1735.15,1720.5,1716.05,1720.54,2296.2,1506.05,6245583,10745755665.25,284814
2020-04-17,1800.0,1851.95,1753.0,1716.05,1810.0,1806.2,1815.31,2296.2,1506.05,9895825,17964025727.1,363192
2020-04-20,1830.0,1830.0,1802.5,1806.2,1818.6,1818.65,1815.63,2296.2,1506.05,3244293,5890435540.8,136285
2020-04-21,1765.0,1794.6,1727.7,1818.65,1737.75,1737.65,1749.84,2296.2,1506.05,5122606,8963743508.55,190349
2020-04-22,1737.65,1790.0,1719.15,1737.65,1773.0,1769.5,1754.72,2296.2,1506.05,3829839,6720279557.6,180947
2020-04-23,1780.0,1900.0,1760.85,1769.5,1867.1,1878.25,1844.03,2296.2,1506.05,5934424,10943235329.5,257398
2020-04-24,1840.7,1851.95,1807.8,1878.25,1821.0,1818.55,1825.54,2296.2,1506.05,2987150,5453169062.4,142967
2020-04-27,1832.3,1875.0,1825.0,1818.55,1834.0,1836.6,1853.6,2296.2,1506.05,3374747,6255422140.55,140822
2020-04-28,1865.0,1868.0,1832.6,1836.6,1865.0,1859.05,1851.06,2296.2,1506.05,2678512,4958095389.7,117278
2020-04-29,1874.0,1912.55,1850.05,1859.05,1903.0,1905.65,1882.9,2296.2,1506.05,4241579,7986490066.35,158389
2020-04-30,1980.0,2032.0,1942.2,1905.65,2019.55,2014.45,1989.49,2296.2,1506.05,5915950,11769706997.75,241064
2020-05-04,1966.0,1966.0,1913.65,2014.45,1930.5,1930.45,1939.3,2296.2,1506.05,3729409,7232442404.05,165528
2020-05-05,1955.1,1977.0,1927.0,1930.45,1932.75,1932.75,1952.86,2296.2,1506.05,2905541,5674116774.2,147469
2020-05-06,1939.8,1953.7,1893.6,1932.75,1908.5,1903.6,1920.77,2296.2,1506.05,3517432,6756179815.55,172517
2020-05-07,1910.0,1934.45,1883.35,1903.6,1895.95,1891.65,1909.43,2296.2,1506.05,3166784,6046765457.3,154795
2020-05-08,1939.1,1939.5,1886.25,1891.65,1897.0,1893.4,1902.14,2296.2,1506.05,2686536,5110170290.65,122431
2020-05-11,1909.0,1951.4,1909.0,1893.4,1936.0,1935.3,1939.47,2296.2,1506.05,2449846,4751415048.95,120116
2020-05-12,1933.4,1956.5,1910.25,1935.3,1948.0,1949.5,1941.23,2296.2,1506.05,3256630,6321867053.1,177881
2020-05-13,1994.0,1994.0,1925.65,1949.5,1944.5,1949.65,1946.67,2296.2,1506.05,2656665,5171649640.05,127103
2020-05-14,1910.0,1923.1,1891.1,1949.65,1902.0,1902.35,1905.48,2296.2,1506.05,2263204,4312480668.25,111897
2020-05-15,1916.0,1917.4,1865.2,1902.35,1903.0,1892.9,1884.25,2296.2,1506.05,3173682,5980003285.0,157447
2020-05-18,1907.0,1952.95,1872.1,1892.9,1940.05,1945.6,1921.1,2296.2,1506.05,3727896,7161666967.25,158352
2020-05-19,1903.0,1966.45,1903.0,1945.6,1948.1,1948.65,1945.9,2296.2,1506.05,3198699,6224360593.35,148060
2020-05-20,1950.0,1962.9,1931.7,1948.65,1953.55,1953.6,1946.92,2296.2,1506.05,2778505,5409514559.25,130438
2020-05-21,1946.0,1998.0,1941.15,1953.6,1990.1,1991.2,1977.64,2296.2,1506.05,3400925,6725802265.75,125723
2020-05-22,1977.1,2032.0,1961.25,1991.2,2015.15,2020.35,2005.12,2296.2,1506.05,3663422,7345594790.65,129277
2020-05-26,2015.0,2024.0,1925.0,2020.35,1948.95,1943.0,1969.21,2296.2,1506.05,4575512,9010142134.85,170636
2020-05-27,1959.0,2010.0,1941.25,1943.0,2008.0,2005.3,1975.64,2296.2,1506.05,3482185,6879539543.0,131846
2020-05-28,1988.5,2014.0,1971.3,2005.3,2006.25,2004.3,1988.53,2296.2,1506.05,3475788,6911722437.65,149827
2020-05-29,1982.0,2002.65,1962.4,2004.3,1980.9,1972.35,1977.79,2296.2,1506.05,7237765,14314766618.1,180576
2020-06-01,1990.0,2060.0,1981.1,1972.35,2038.0,2045.25,2033.41,2296.2,1506.05,3747850,7620914144.3,146513
2020-06-02,2060.2,2081.0,2040.05,2045.25,2049.95,2047.15,2057.96,2296.2,1506.05,2443886,5029413812.55,116685
2020-06-03,2051.85,2063.75,2020.0,2047.15,2048.0,2046.15,2038.22,2296.2,1506.05,3699799,7540990258.25,154423
2020-06-04,2046.75,2100.0,2046.75,2046.15,2094.95,2091.55,2075.82,2296.2,1506.05,4048593,8404139687.85,147400
