DATE,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES,Return,MA_20,MA_50,Target
2020-03-11,1933.0,1987.3,1920.0,1972.35,1952.75,1953.7,1959.39,2296.2,1920.0,6796752,13317485489.4,213057,-0.009455725403706206,2113.0724999999998,2151.09,0
2020-03-12,1904.0,1908.4,1758.35,1953.7,1772.9,1769.85,1815.1,2296.2,1758.35,8728972,15843998582.65,252037,-0.09410349593079803,2093.895,2143.135,1
2020-03-13,1687.9,1820.0,1506.05,1769.85,1820.0,1806.3,1736.57,2296.2,1506.05,8029725,13944191600.15,280631,0.020594965675057253,2075.6725,2136.1079999999997,0
2020-03-16,1755.0,1842.25,1675.85,1806.3,1684.5,1696.4,1760.08,2296.2,1506.05,7844420,13806790037.55,380004,-0.06084260643303985,2050.895,2126.023,0
2020-03-17,1730.0,1731.0,1623.15,1696.4,1632.0,1658.0,1687.98,2296.2,1506.05,5713269,9643907647.0,224133,-0.02263617071445423,2024.5850000000003,2115.174,0
2020-03-18,1676.8,1713.55,1627.75,1658.0,1670.0,1654.4,1667.41,2296.2,1506.05,7259111,12103889122.0,276794,-0.0021712907117007463,1997.1425,2104.145,0
2020-03-19,1559.7,1685.45,1546.75,1654.4,1636.0,1636.35,1622.31,2296.2,1506.05,5135162,8330841286.1,248319,-0.01091029980657654,1968.1725000000001,2091.7670000000003,1
2020-03-20,1630.0,1869.0,1627.0,1636.35,1792.95,1797.45,1787.53,2296.2,1506.05,8547645,15279137654.05,361688,0.09845082042350373,1948.2275000000002,2083.429,0
2020-03-23,1620.0,1750.0,1617.75,1797.45,1631.0,1669.7,1687.63,2296.2,1506.05,7003558,11819398271.45,190709,-0.07107290884308326,1923.8725,2072.5519999999997,1
2020-03-24,1653.05,1770.0,1632.85,1669.7,1699.95,1703.15,1716.94,2296.2,1506.05,6354209,10909810045.2,309791,0.020033538959094432,1903.2625,2062.808,1
2020-03-25,1700.0,1810.0,1680.0,1703.15,1732.0,1750.3,1735.21,2296.2,1506.05,2765527,4798769889.4,200205,0.027683997299122076,1882.97,2053.676,1
2020-03-26,1831.6,1832.05,1722.55,1750.3,1785.0,1790.95,1783.59,2296.2,1506.05,4556071,8126171884.0,251428,0.023224590070273665,1866.3375,2044.957,1
2020-03-27,1820.0,1850.0,1750.4,1790.95,1850.0,1824.5,1796.8,2296.2,1506.05,4331310,7782510210.5,217336,0.018733074625198798,1852.2875,2036.671,0
2020-03-30,1766.0,1905.0,1763.55,1824.5,1781.7,1778.5,1813.46,2296.2,1506.05,8513608,15439075101.8,277606,-0.025212386955330235,1841.205,2027.8590000000002,1
2020-03-31,1837.4,1855.0,1780.0,1778.5,1819.0,1826.1,1824.45,2296.2,1506.05,3927593,7165706825.15,190774,0.026764127073376498,1832.4449999999997,2020.974,0
2020-04-01,1825.9,1834.75,1702.0,1826.1,1714.0,1708.75,1763.66,2296.2,1506.05,4941898,8715811596.15,221364,-0.06426263621926509,1816.0724999999998,2011.7279999999998,0
